body,title
"

ZTE utilizó a México como el escenario para la presentación oficial de los nuevos integrantes de su familia de gama media: los ZTE Blade V30 y Blade V30 Vita son oficiales y México es el primer país al que llegarán. 


Los Blade V30 y Blade V30 Vita estarán disponibles en México a partir del 22 de julio en el catálogo de Telcel, es decir que también estarán disponibles en numerosos distribuidores autorizados del operador en el país. Sus precios serán:
 



Blade V30, 4/128 GB: 6,199 pesos
Blade V30 Vita, 3/128 GB: 5,099 pesos

ZTE Blade V30 y Blade V30 Vita en México, características técnicas
        ZTE Blade V30   ZTE Blade V30 Vita      Pantalla   6.67 pulgadas
Resolución FullHD+
Agujero en pantalla   6.82 pulgadas
Resolución HD+
Notch de gota     Chipset   UNISOC T618   Octa-core a 1.6 GHz     Memoria RAM y almacenamiento   4 GB de RAM
128 GB de almacenamiento, expansible con microSD hasta 512 GB   3 GB de RAM
128 GB de almacenamiento, expansible con microSD hasta 512 GB     Sistema operativo   Android 11 con capa MyFlavorOS   Android 11 con capa MyFlavorOS     Cámaras traseras   Cuádruple: 64 megapixeles f/1.8 principal
8 megapixeles ultra gran angular con campo de visión de 120
5 megapixeles macro hasta 3 cm
2 megapixeles para profundidad   Triple: 48 megapixeles f/1.8 principal
5 megapixeles macro hasta 3 cm
2 megapixeles para profundidad     Cámara frontal   16 megapixeles   8 megapixeles     Batería   5,000 mAh con carga rápida de 18W por USB Type-C   5,000 mAh con carga por USB Type-C     Otros   Sensor de huellas lateral
4G LTE
Jack 3.5 mm de audio   Sensor de huellas lateral
4G LTE
Jack 3.5 mm de audio     Precio   6,199 pesos   5,099 pesos    
    
Los nuevos smartphones de ZTE sigue la línea técnica de la familia Blade, con prestaciones enfocadas a la gama media, pero ahora ambos Blade V30 y Blade V30 Vita reciben un merecido rediseño con las líneas estéticas del Axon 30 Ultra.

El Blade V30 tiene pantalla de 6.67 pulgadas FullHD+ con agujero para la cámara frontal, chipset UNISOC Tiger T168 (el mismo que el del Axon 20 que llegó a México), 4 GB de RAM y 128 GB de almacenamiento expandible. Cuatro cámaras son sensor principal de 64 megapixeles son su principal característica, junto con una gran batería de 5,000 mAh con carga rápida de 18W. 

      Blade V30 Vita  
Por otro lado, el Blade V30 Vita crece en tamaño hasta las 6.82 pulgadas, pero se queda con resolución HD+ y notch de gota. En potencia, usa un chipset octa-core no especificado apoyado por 3 GB de RAM, pero también 128 GB de almacenamiento expandible. Las cámaras en su espalda con tres, lideradas por un sensor principal de 48 megapixeles, y mantiene la batería de 5,000 mAh, pero no se especifica si tiene carga rápida.  

Es importante mencionar que a pesar de que en la presentación solo se mencionó la disponibilidad de los Blade V30 y Blade 30 Vita con Telcel, la página de ZTE México menciona que también estarán disponibles con AT&T, Movistar y en tiendas como Amazon, Coppel, Elektra, entre otras. 

    
Así es como ZTE refuerza su catálogo de smartphones para México y renueva sus opciones disponibles para los usuarios. Sin embargo, la competencia también ha hecho lo propio e incluso han llegado nuevos nombres al mercado nacional y la competencia está más reñida que nunca.















    Compartir
    
           ZTE Blade V30 y Blade V30 Vita llegan a México: cuatro cámaras y 5,000 mAh para la gama media, lanzamiento y precio oficial
         


Facebook
Twitter
Flipboard
E-mail



Temas

Celulares y Smartphones


México
Telcel
ZTE




","
         ZTE Blade V30 y Blade V30 Vita llegan a México: cuatro cámaras y 5,000 mAh para la gama media, lanzamiento y precio oficial   "
"

A partir del 1 de agosto, todos los vehículos particulares de Jalisco, así como los de uso intensivo deberán realizar -sí, de forma obligatoria- una prueba de verificación. El programa se llama Verificación Responsable y sería implementado para garantizar la calidad del aire en aquel estado.


Como en otras entidades en donde también se aplica esta medida, Verificación Responsable tiene como objetivo que los vehículos que circulan dentro de Jalisco se encuentren dentro de los límites máximos permisibles de CO2. Para ello, los propietarios de los autos, camionetas y camiones deberán afinarlos, haber llevado un mantenimiento físico-mecánico de manera previa y dar servicio al motor para aprobar la prueba.
 


La verificación tendrá un precio de 500 pesos, pero, si es fuera del tiempo en los meses que al auto le correspondía, el costo aumentará 50 pesos, quedando en 550. De acuerdo con el gobierno del estado, con una parte de este precio se cubrirá  el costo del proveedor de tecnología y la operación de los Centros de Verificación Responsable, y lo restante se donará al Fondo Ambiental.

En caso de no pasar la prueba, el propietario deberá llevar el auto a mantenimiento para solucionar los fallos que pudiera tener para acudir a una segunda oportunidad, la cual no tiene costo en el mismo centro de verificación, pero deberá realizarla en el lapso correspondiente. Si llegase a reprobar una segunda vez, la tercera prueba en adelante ya costará 550 pesos.

Calendario de verificaciones
El calendario de verificaciones comenzará con los vehículos particulares cuyas placas terminen en 7. Abarcará todo el mes de agosto y septiembre; después, en septiembre-octubre se verificarán los que terminen 8, octubre-noviembre en 9, y así sucesivamente hasta llegar a los que terminan en 6 en julio-agosto de 2022.

    
En el caso de los vehículos de uso intensivo (taxis, autos de plataformas de movilidad, pickups, parque oficial y diésel), la verificación contemplará dos números de terminación, es decir, ahora en agosto-septiembre, el turno será de los que terminen en números 3 y 4, mientras que en septiembre-octubre los que su último número sea 5 y 6, y así sucesivamente hasta llegar a 1 y 2 en julio-agosto de 2022.

    
Así se saca una cita para verificar
Los tapatíos deberán tomar en cuenta que el proceso comienza con sacar una cita, la cual sólo se programa a través de internet. Estos son los pasos a seguir:


Ingresar a https://verificacionresponsable.jalisco.gob.mx/. Habrá que tener a la mano la tarjeta de circulación
Seleccionar el botón “Hacer cita”
Selecciona el Centro de Verificación Responsable más cercano, o busca en el mapa interactivo
Ingresar los datos personales y del vehículo
Elegir una fecha y horario para realizar la prueba
Realizar el pago y una vez que se vea reflejado, continuar con el proceso

Toma en cuenta que los centros de verificación no aceptan pagos en efectivo, por lo que deberás acudir ya con el pago hecho en tiempo y forma.

En esto consiste la verificación
Cuando llegues al centro de verificación, el encargado de realizar el proceso revisará primero visualmente los componentes que forman parte de los sistemas de control de emisiones del auto (motor, escape), después seguirá con un seguimiento de estos a través de una medición de emisiones.

Por ello,  antes de tu visita es recomendable monitorear los fluidos del motor en su nivel (aceites y anticongelantes), llantas en buen estado y con la presión correcta, mangueras de refrigeración en buen estado y que el auto esté limpio.

    
Sanciones y exentos
Por ahora, el gobierno de Jalisco no impondrá multas monetarias a aquellos que no verifiquen sus vehículos, por lo que, en una primera etapa sólo se castigará con una amonestación que comenzará el próximo 1 de octubre. Sin embargo, a partir del 1 de enero de 2022, ya no habrá tolerancia y comenzarán las multas, aunque por ahora no se dieron los costos de las multas.

Como ocurre en la Ciudad de México, los vehículos eléctricos e híbridos enchufables están exentos de pasar por la verificación como estímulo fiscal y porque no emiten CO2 mientras circulan. Si estás pensando en cambiarte a un auto eléctrico y así evitar el pago de impuestos, aquí te contamos cuál es el modelo más barato que está disponible en México.

Pase de Estancia Temporal
Si vas de vacaciones, por motivos de trabajo o personales al Área Metropolitana de Guadalajara en tu auto o camioneta, deberás tramitar un Pase de Estancia Temporal, un permiso gratuito que permite circular de manera temporal por ahí en un vehículo con placas de otro estado y así evitar realizar la verificación.

Ojo, este pase es válido sólo 20 días y se tramitará próximamente en el sitio web oficial del programa. En cambio, si vas a circular por más tiempo, será necesario verificar al igual que cualquier automóvil con placas jaliscienses.

En total, en Jalisco deberán verificarse un total de 3 millones 710 mil vehículos. En este arranque del programa deberán ser 250,000 los autos particulares verificados, pues son los registrados con placas terminación 7, mientras que los de uso intensivo terminación 3 y 4 son 9,457.

Con esta medida, Jalisco se suma a la Ciudad de México, el Estado de México, Michoacán y Guanajuato, estados en los que la verificación vehicular es obligatoria; mientras que si circulas en municipios del Estado de México, Hidalgo, Tlaxcala, Puebla y Morelos, es obligatorio que cuentes con esta evaluación, aunque en donde vivas, no sea requisito.















    Compartir
    
           Qué es la Verificación Responsable: Jalisco inicia su nuevo programa de verificación, esto costará, exentos y multas
         


Facebook
Twitter
Flipboard
E-mail



Temas

Automóvil


Jalisco
verificación
Verificación Responsable




",
"

El Gobierno de CDMX dio a conocer este sábado en conferencia de prensa el plan de la jornada de vacunación de la semana del 19 al 24 de julio. Esta es importante porque se terminará la aplicación de primera dosis para todos los adultos de 30 a 39 años, y además también terminará la aplicación de segunda dosis para adultos de 50 a 59 años.


Después de las primeras dos jornadas de vacunación de adultos de 30 a 39 años, el gobierno pretende vacunar a casi un millón de adultos de esta edad en las alcaldías restantes de CDMX: Tláhuac, Miguel Hidalgo, Azcapotzalco, Benito Juárez, Coyoacán, Gustavo A. Madero, Venustiano Carranza, Álvaro Obregón y Tlalpan. 
 


Las fechas de vacunación para las alcaldías Tláhuac, Miguel Hidalgo, Azcapotzalco, Benito Juárez, Coyoacán, Gustavo A. Madero, y Tlalpan serán del 20 al 24 de julio, con la siguiente división de nombres por día:

    
La vacunación de las alcaldías Álvaro Obregón y Venustiano Carranza comenzará al final de la misma semana y abarcará hasta el martes 27 de julio. Así se dividirán los nombres por días:

    
En todos los casos serán necesario el registro en el sitio Mi Vacuna y acudir a la cita (cuyos detalles llegarán en un mensaje de texto) con identificación oficial, comprobante de domicilio y expediente de vacunación impreso. Todos los detalles, junto con las sedes de vacunación se podrán consultar en el sitio Vacunación CDMX. A manera de resumen, aquí una tabla con las alcaldías, sedes y vacuna que será aplicada: 

      Alcaldía   Sede   Vacuna      Tlalpan   Instituto Nacional de Medicina Genómica
Escuela Nacional Preparatoria número 5   AstraZeneca     Tláhuac   Unidad Habitacional Militar El Vergel   Sputnik V     Miguel Hidalgo   Campo Marte   Sputnik V     Azcapotzalco   Arena Ciudad de México   Sputnik V     Benito Juárez   Unidad de Congresos del Centro Médico Siglo XXI   Sputnik V     Coyoacán   Centro De Estudios Navales en Ciencias de la Salud
Centro de Exposiciones de Ciudad Universitaria   Sputnik V     Gustavo A. Madero   Centro Cultural Jaime Torres Bodet
Escuela Nacional Preparatoria #9   Sputnik V    Álvaro Obregón   Estadio de Ciudad Universitaria
Expo Santa Fe   Sputnik V    Venustiano Carranza   Palacio de los Deportes
   Sputnik V    
Además, también se dio a conocer que cualquier adulto mayor de 30 años que no se vacunó cuando correspondía, podrá acudir a cualquier unidad de vacunación de su conveniencia para recibir la primera dosis, respetando el día de aplicación de acuerdo con la letra del primer apellido.

Si tienes más de 30 años y no te vacunaste cuando te correspondía, a partir del 20 de julio puedes asistir a cualquier sede donde se aplique 1ª dosis para recibir la vacuna según tu primer apellido.Los invito a vacunarse y seguirnos cuidando.(3/3) pic.twitter.com/AetqDfZBAX— Claudia Sheinbaum (@Claudiashein) July 17, 2021 

Con todo esto, al final de la jornada el 27 de julio, se habrá vacunado contra COVID a todos los adultos de 30 a 39 años de CDMX con al menos una dosis, según las estimaciones del gobierno.

Adultos de 50 a 59 años, vacunados con esquema completo
Finalmente, durante esta misma jornada se aplicará segunda dosis de Sputnik V a todos los adultos de 50 a 59 años en las alcaldías Álvaro Obregón e Iztacalco. La vacunación será del 19 al 22 de julio con división por letras de la siguiente manera: 

    
Al término de esta jornada, se habrá aplicado esquema completo de vacunación con dos dosis de Sputnik V a todos los adulos de 50 a 59 años de CDMX, según el gobierno.  

Después de esto, el siguiente paso será comenzar la vacunación de adultos a partir de 18 años, cuyo registro se abrió la semana pasada y marca el último paso del plan de vacunación, muy necesario ahora que la tercera ola de COVID ha mostrado un incremento desenfrenado de contagios. 















    Compartir
    
           Vacunación contra COVID en CDMX: próxima semana terminará aplicación de primera dosis a adultos de 30 a 39 años, estas serán las sedes
         


Facebook
Twitter
Flipboard
E-mail



Temas

Medicina y Salud


CDMX
Coronavirus
Coronavirus en México




","
         Vacunación contra COVID en CDMX: próxima semana terminará aplicación de primera dosis a adultos de 30 a 39 años, estas serán las sedes   "
"

Valve nos acaba de sorprender con Steam Deck, su consola híbrida que tiene una inspiración evidente en el Nintendo Switch, pero con la diferencia que correrá todos los títulos de Steam en PC.

Aclararon que lo único que se necesitará será iniciar sesión con nuestra cuenta de Steam para que aparezca la misma biblioteca que tenemos en PC. 
 











Características de Steam Deck
      Steam Deck        Pantalla   7 pulgadas     Tipo de pantalla   LCD     Resolución   1280 x 800     APU   AMD     CPU   Zen 3 4c/8t, 2.4-3.5     GPU   8 RDNA 2 CUs, 1-1.6     GHz   Hasta 1.6 TFlops FP32     Potencia APU   4-15 W     RAM   16 GB LPFFR5     Duración de la batería   Hasta 8 horas, dependiendo el juego    

Todos los juegos de PC, en modo portátil
Valve señaló que para la creación de la consola se asociaron con AMD para crear una APU personalizada y optimizada para los juegos portátiles, combinando el procesamiento Zen 2 + RFNA 2 para asegurar el rendimiento de los títulos catalogados como AAA.








Nintendo Switch Lite - Turquesa


PVP en Amazon México $4,799.00








    
Respecto a los sticks analógicos, mencionan que fueron creados para tener sesiones de juego muy largas, priorizando que el tamaño y la distancia de los botones hagan que la mayoría de los usuarios se pueda adaptar.

En la parte frontal contaremos con dos palancas colocadas del lado izquierdo y derecho, además de la clásica cruceta que estará colocada del lado izquierdo de uno de los joystick. Contaremos con los botones clásicos X,Y,A y B, además de accesos a los menús y paneles táctiles para desplazarnos por el menú.

    
En la parte superior tendemos el R1, R2, L1, L2, mientras en la parte trasera también tendremos otros cuatro botones para personalizarlos a funciones específicas.

La consola es híbrida porque también existe un diminuto dock para poder mandar la imagen de la consola directamente a una pantalla o monitor. Aclararon que se venderá por separado y se darán más detalles en un futuro.

    
Precio y disponibilidad del Steam Deck
Su lanzamiento se tiene planeado para algún momento de diciembre y contará con tres diferentes versiones.

Steam Deck de 64 GB eMMC

Estuche de transporte
Precio: 399 dólares

Steam Deck de 256 GB NVMe SSD

Almacenamiento más rápido
Estuche de transporte
Lote de perfil exclusivo de la comunidad Steam
Precio: 529 dólares

Steam Deck de 512 GB NVMe SSD

Almacenamiento más rápido
Pantalla antirreflectante de primera calidad
Estuche de transporte exclusivo
Lote de perfil exclusivo de la comunidad Steam
Teclado virtual con tema exclusivo
Precio: 649 dólares

    
La empresa mencionó que los únicos países considerados para el lanzamiento son Estados Unidos, Canadá, Reino Unido y la Unión Europea.

Recordemos que es el primer intento de Steam por competir con el mercado de consolas, en 2015 lanzaron las Steam Machines, una especie de consola y computadora que contaba con SteamOS como sistema operativo y algunos fabricantes decidieron unirse con diferentes modelos, al final no tuvo el impacto esperado.

    





    Compartir
    
           Steam Deck, el Nintendo Switch de Valve con procesador AMD, SSD de hasta 512 GB, dock para TV  y compatibilidad total con Steam
         


Facebook
Twitter
Flipboard
E-mail



Temas

Videojuegos


Steam




","
         Steam Deck, el Nintendo Switch de Valve con procesador AMD, SSD de hasta 512 GB, dock para TV  y compatibilidad total con Steam   "
"

Mercado Libre es un importante aliado en México de las plataformas de streaming que llegan al país, con importantes ofertas y promociones para sus usuarios. Sin embargo, de manera muy sorpresiva, ahora ha lanzado la que se puede considerar su promoción más importantes hasta ahora: Disney+ gratis, pero solo para algunos usuarios.


Usuarios nivel 6 de Mercado Libre reportan desde hace algunos días que han recibido una notificación de la aplicación que anuncia el nuevo beneficio de la suscripción a Disney+ gratis, siempre y cuando mantengan el nivel 6. En el caso de que el usuario baje de nivel, se cobrará la suscripción a la plataforma, según explica la propia app.
 


    
El detalle importante a tener en cuenta es que el beneficio de Disney+ gratis solo aplica para los usuarios nivel 6 de Mercado Libre. Este es el nivel más alto en la plataforma y se alcanza, según la página web, al acumular 4,000 puntos, mismos que se adquieren al realizar compras en Mercado Libre y pagos en Mercado Pago. 

En general, Mercado Libre ofrece varios beneficios a sus usuarios, no solo con la suscripción a Disney+ sino también para otras plataformas. Por ejemplo, en mi caso por ser nivel 3 me ofrece dos meses gratis de Disney+ más descuento en la suscripción, 20% de descuento en HBO Max, entre otros.

Lo dicho, Mercado Libre es un importante aliado para las plataformas de streaming en México, desde ahora Disney+ hasta más recientemente HBO Max, pasando por Paramount.










Muchas gracias a Alex y Aldo en Twitter por el tip, y a Teshi8 del servidor de Discord de Xataka México por las capturas de pantalla.
 




    Compartir
    
           Disney Plus gratis para usuarios de Mercado Libre en México: un beneficio exclusivo solo para algunos
         


Facebook
Twitter
Flipboard
E-mail



Temas

Streaming


México
Mercado Libre
Disney Plus




","
         Disney Plus gratis para usuarios de Mercado Libre en México: un beneficio exclusivo solo para algunos   "
"

En noviembre de 2020 fueron llamados a revisión en Estados Unidos 68,667 Chevrolet Bolt eléctricos que se fabricaron en 2017 y 2019 por problemas con la batería. De esos autos reparados, dos recientemente se incendiaron y ahora Chevrolet vuelve a llamar estos modelos para retirarlos nuevamente a revisión.


Uno de los incendios ocurrió mientras el vehículo se cargaba en la casa de un legislador del estado de Vermont a principios de este mes. El otro incendio ocurrió en Nueva Jersey, dijo un portavoz de GM.
 


      Así quedó el Bolt del legislador de Vermont.  
Como medida precautoria, Chevrolet pidió a los propietarios de estos autos, que no carguen los eléctricos durante la noche y que mejor los estacionen fuera:


""Por precaución, estamos pidiendo a los propietarios de Chevrolet Bolt EV 2017-2019 que fueron parte de la población del retiro del mercado a estacionar sus vehículos al aire libre inmediatamente después de la carga y no dejar sus vehículos cargando durante la noche mientras investigamos estos incidentes""

La Administración Nacional de Seguridad del Tráfico en las Carreteras (NHTSA por sus siglas en inglés) de Estados Unidos también emitió la misma advertencia a los propietarios ayer por la noche y comentó que aún se encuentra investigando el problema y los dos nuevos incendios. Además, comentó a los propietarios que ellos mismos pueden ingresar su número de VIN en esta página para verificar si su Bolt está incluido en la revisión.

La posible causa
De acuerdo con la NHTSA, los paquetes de celdas de batería en los vehículos impactados tienen el potencial de ""fumar"" y encenderse internamente, lo que podría extenderse al resto del vehículo y causar un incendio en la estructura si el vehículo está estacionado dentro de un garaje o cerca de una casa.

    
Por su parte, GM no ha emitido información alguna sobre las causas de los incendios, pero estos modelos de Bolt usan las mismas celdas de LG Chem que el Hyundai Kona EV, el cual fue llamado a revisión después de múltiples informes de incendios y que fue sacado del mercado por completo en Corea del Sur.

Hasta ahora se han documentado nueve incendios de Bolts en Estados Unidos, por lo que Chevrolet decidió mejor recomprar docenas de estos eléctricos que presentan ""riesgo de incendio"", esta medida ayudaría a calmar a clientes descontentos y así evitar llegar a tribunales por demandas colectivas.

Apenas en mayo pasado, Chevrolet confirmó que su nueva Bolt EUV 2022 llegará a México durante el segundo trimestre de este año. Se trata de la primera SUV compacta totalmente eléctrica de la compañía, la cual presume una autonomía de hasta 397 km con una sola carga, sin embargo aún no se sabe el precio o las versiones en las que estará disponible.















    Compartir
    
           Dos Chevrolet Bolt eléctricos se incendian: GM pide a los propietarios no dejar cargándolos toda la noche y estacionarlos fuera de la casa
         


Facebook
Twitter
Flipboard
E-mail



Temas

Automóvil


Batería
Chevrolet
Incendio
Bolt
Bolt EV




","
         Dos Chevrolet Bolt eléctricos se incendian: GM pide a los propietarios no dejar cargándolos toda la noche y estacionarlos fuera de la casa   "
"

Junto con HarmonyOS, Huawei presentó en junio pasado una oleada de nuevos productos, entre ellos la cuarta generación de sus audífonos true-wireless con cancelación de ruido, los FreeBuds 4. Y la buena noticia es que no hemos tenido que esperar mucho para verlos en México.


Los Huawei FreeBuds 4 llegan a México con un precio oficial de 2,999 pesos, y estarán disponibles a partir de 22 de julio en la tienda en línea de la compañía. Posteriormente, del 29 de julio al 4 de agosto estarán en preventa en Amazon México por el mismo precio, y a partir del 5 de agosto se podrán comprar en Mercado Libre, Telcel, Liverpool, Coppel y las tiendas físicas Huawei Experience Store.
 











En Xataka México

Probamos HarmonyOS en México: la promesa de Huawei de un competidor para iOS y Android es sólida, pero aún tiene mucho por delante



Huawei FreeBuds 4 en México, características técnicas
        Huawei FreeBuds 4      Dimensiones y peso   Auriculares: 41.4 x 16.8 x 18.5 mm, 4.1 gramos cada uno
Estuche: 58 x 21.2 mm, 38 gramos     Drivers y códecs   14.3 mm     Conexión y compatibilidad   Bluetooth 5.2
Conexión con dos dispositivos al mismo tiempo     Batería   30 mAh cada auricular, hasta 4 horas de reproducción sin cancelación de ruido
410 mAh en el case, hasta 22 horas de carga, sin cancelación de ruido Carga por USB Type-C     Otros   Cancelación activa de ruido
Controles táctiles
Certificación IPX4 contra agua     Precio   2,999 pesos    
    
Los FreeBuds 4 mantienen el diseño de generaciones pasadas, con formato abierto, pero más pequeño y cómodo según Huawei, además de que mejoran su sonido y tecnología de cancelación de ruido, logrando cancelar sonidos de hasta 25 dB, según las cifras oficiales. 








Huawei FreeBuds 4i - Audífonos Inalámbricos (Conexión Bluetooth 5.2, Cancelación de Sonido Durante Llamada) - Blanco


PVP en Amazon México $1,499.00








Además, Huawei presume del análisis del eco del oído para ajustar mejor la cancelación de ruido dependiendo de la situación. Esto complementa la inteligencia artificial en los audífonos que analiza y adapta automáticamente el sonido para ofrecer una experiencia de audio personalizada para cada usuario. Además, los FreeBuds 4 presumen de conexión simultánea con dos dispositivos. 

En cuanto a autonomía, Huawei promete hasta 4 horas de reproducción y hasta 22 horas de carga extra en el estuche de los FreeBuds 4, todo esto con la cancelación de ruido desactivada. Al activar la cancelación de ruido la autonomía se reduce a 2.5 horas y 14 horas, respectivamente.















    Compartir
    
           Huawei FreeBuds 4 llegan a México: mejor sonido y mejor cancelación de ruido, lanzamiento y precio oficial
         


Facebook
Twitter
Flipboard
E-mail



Temas

Audio
Accesorios


México
Huawei
FreeBuds 4




","
         Huawei FreeBuds 4 llegan a México: mejor sonido y mejor cancelación de ruido, lanzamiento y precio oficial   "
"

Después de la llegada del soporte multidispositivo, WhatsApp está probando otra importante mejora: las copias de seguridad en la nube encriptadas. Estas ofrecerán un nuevo y mayor nivel de seguridad a sus usuarios, pero que también puede llegar a ser ""peligroso"". 











En Xataka México

Cómo hacer una copia de seguridad en la nube de las conversaciones de WhatsApp



Vamos por partes. Lo primero es el reporte de WABetaInfo que revela que la versión beta 2.21.15.5 de WhatsApp para Android habilita las copias de seguridad en la nube encriptadas. La diferencia con las copias de seguridad actuales es que este nuevo método cifra todo el historial de conversaciones e incluso contenido multimedia para que nadie pueda acceder a la información. El único método para acceder es con la contraseña en posesión del dueño de la cuenta.
 


    
La contraseña puede ser creada por el usuario o también se puede elegir una llave de encriptación de 64 caracteres, números y letras de la 'a' a la 'f', y solo estos métodos harán posible el acceso a la información cifrada. Y aquí está el detalle que puede llegar a ser ""peligroso"".  

Tal y como la propia app advierte, si se pierde la contraseña o llave de encriptación, el acceso a la copia de seguridad no será posible, ya que ninguna se comparte con WhatsApp, Facebook ni alguna otra plataforma.  Es única responsabilidad del usuario su resguardo. 

    
Entonces, antes de activar las copias de seguridad encriptadas, el usuario debe entender que en caso de perder la contraseña o llave de encriptación no podrá restaurar su copia de seguridad. Ni siquiera WhatsApp podrá ayudar a la restauración.

La principal ventaja de las copias de seguridad en la nube encriptadas es que, al igual que sucede con los mensajes cifrados de extremo-a-extremo, absolutamente nadie puede acceder al contenido. En cambio, con las copias de seguridad actuales de Drive y iCloud, las autoridades pueden revisarlas en caso de ser necesario, con la correspondiente orden de registro. 

Esta prueba beta adelanta que las copias de seguridad encriptadas podrían llegar pronto a todos los usuarios en la versión final del mensajero. Sin embargo, por el momento no hay detalles y solo queda estar al pendiente de las novedades de WhatsApp.















    Compartir
    
           WhatsAp para Android prueba copias de seguridad en la nube encriptadas: un mayor nivel de seguridad, pero que puede ser ""peligroso""
         


Facebook
Twitter
Flipboard
E-mail



Temas

Aplicaciones


Aplicaciones Android
WhatsApp
mensajería instantánea




","
         WhatsAp para Android prueba copias de seguridad en la nube encriptadas: un mayor nivel de seguridad, pero que puede ser ""peligroso""   "
"

Los teclados de las computadoras portátiles están perfectamente optimizados para el trabajo móvil, pero no siempre son la opción más cómoda. Aquí entran los teclados mecánicos que conocemos, pero que al ser un periférico extra, no todos están dispuestos a llevar junto con su laptop. Epomaker quiere solucionar este problema con su nuevo teclado mecánico inalámbrico.











En Xataka México

Teclados mecánicos: qué son, qué diferencias tienen con uno tradicional y cómo te pueden ayudar si estudias o trabajas desde casa



El Epomaker NT68 es el teclado mecánico Bluetooth que quiere sustituir el teclado de tu laptop. Tiene un tamaño compacto (exactamente de 65%), pero lo más importante es su ""soporte invisible"" que le permite colocarse exactamente sobre el teclado de las computadoras portátiles. Este soporte es magnético, por lo cual se adhiere al cuerpo de las computadoras y esto evita que se mueva.
 


    
El soporte puede ajustar su altura, de 6 a 15.5 grados, para una mejor experiencia de tecleo con las computadoras portátiles. Además, al ser Bluetooth también puede ser usado con otros dispositivos, para lo cual tiene tres soportes para apoyar smartphones o tablets, ya que puede ser sincronizado con hasta tres dispositivos al mismo tiempo. 

Finalmente, el soporte también puede ser usado como funda de transporte, gracias a los imanes que la asegura alrededor del teclado. 

    
El Epomaker NT68 es compatible con Windows y Mac, así como iOS y Android, es completamente configurable y también puede conectarse alámbricamente gracias a su puerto USB-C, mismo que se utiliza para la carga. En modo inalámbrico, su batería de 1,900 mAh ofrece una autonomía de entre 2 y 5 semanas con una sola carga, según el fabricante, dependiendo del tipo de uso. 

Como ya mencionamos, este teclado es de formato 65%, es decir que tiene 68 teclas, eliminando las teclas de función, es hot-swappable, es decir que permite el cambio de switches sin necesidad de desoldar y soldar, y estará disponible en una amplia variedad de switches Gateron y Chocolate, marca propia de Epomaker, suu cuerpo es de una combinación de plástico ABS y aluminio.

    









En Xataka México

Diseñé un teclado mecánico en México, lo puse a la venta a nivel internacional y se agotó en 23 horas: la historia del smAllice



Epomaker aún no ha anunciado fecha de disponibilidad ni precio del NT68, pero ha abierto un registro en su sitio web para recibir novedades de su nuevo teclado cuando sea lanzado. 

Como entusiasta de los teclados mecánicos que en ocasiones ha cargado algún teclado para trabajar fuera en la laptop, las posibilidades que ofrece el Epomaker NT68 se ven muy atractivas. 















    Compartir
    
           Epomaker NT68: este teclado mecánico Bluetooth quiere sustituir el teclado de tu laptop con su ""soporte invisible""
         


Facebook
Twitter
Flipboard
E-mail



Temas

Ordenadores


teclado
Teclado Bluetooth




","
         Epomaker NT68: este teclado mecánico Bluetooth quiere sustituir el teclado de tu laptop con su ""soporte invisible""   "
"

Tesla ha lanzado la suscripción para el servicio de conducción completamente autónoma de sus autos por 199 dólares al mes. Anteriormente esta capacidad solo se podía adquirir al comprar el auto, por 10,000 dólares extra. 


Con esta suscripción los Tesla recibirán el software avanzado de asistencia de manejo ""Capacidad de conducción autónoma total"" que, como su nombre indica, permite la conducción completa sin intervención del pasajero, con acciones como el cambio de carril en autopistas y asistencia para estacionar. Esta es una manera de Tesla para generar ingresos adicionales, al permitir a sus usuarios acceder a estas características avanzadas sin pagar una cantidad considerable como lo son 10,000 dólares al momento de la compra del auto, 
 


Sin embargo, tesla deja en claro que este software ""no hace a sus vehículos autónomos"" ya que ""requieren completa atención del conductor, quien debe tener sus manos en el volante"". De manera introducción la suscripción para el sistema de conducción autónoma total solo está disponible para autos Tesla elegibles en Estados Unidos, y los usuarios solo deben revisar su app para obtenerla. En otras regiones se deberán esperar por detalles de disponibilidad. 

    
Es importante mencionar que solo los autos Tesla equipados con computadora de conducción autónoma completa 3.0 o superior pueden acceder a la suscripción para el software. Aquellos que no cuenten con este sistema, podrán hacer la actualización de hardware por 1,500 dólares. 

Este lanzamiento de la nueva suscripción llega tan solo una semana después de la nueva beta v9 que muestra ""la mente del auto"" y además habilita una versión previa del sistema de manejo autónomo. 

Recientemente Elon Musk aceptó que los autos autónomos son un ""problema difícil"" y subestimó la complejidad del desarrollo de un sistema completamente funcional, razón por la cual no se cumplió su predicción de que en 2020 habría ""más de un millón de coches con software, todos sin conductor"". Evidentemente esta situación no se ha cumplido y, viendo la situación de desarrollo actual, aún falta mucho para que se cumpla. 















    Compartir
    
           Tesla lanza suscripción para la conducción autónoma total: 199 dólares al mes para que los Tesla ""manejen por si solos""
         


Facebook
Twitter
Flipboard
E-mail



Temas

Vehiculos


Tesla
Conducción autónoma




","
         Tesla lanza suscripción para la conducción autónoma total: 199 dólares al mes para que los Tesla ""manejen por si solos""   "
